Trait group	Trait name	ID	Family	Genotype predictive performance	Covariates predictive performance	Full predictive performance	Delta	Number of variants	P	Significant
Anthropometry	/RIVAS_HG19/snpnet/INI50	Standing height	gaussian	0.18	0.54	0.72	0.18	51209	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI20015	Sitting height	gaussian	0.13	0.43	0.56	0.13	36345	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23102	Whole body water mass	gaussian	0.05	0.71	0.76	0.05	35046	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23129	Trunk fat-free mass	gaussian	0.05	0.72	0.77	0.05	34749	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23101	Whole body fat-free mass	gaussian	0.05	0.71	0.76	0.05	34486	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23130	Trunk pred. mass	gaussian	0.05	0.72	0.77	0.05	32685	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23106	Impedance of whole body	gaussian	0.08	0.44	0.52	0.08	32218	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23105	Basal metabolic rate	gaussian	0.06	0.63	0.69	0.06	32154	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23114	Leg pred. mass (R)	gaussian	0.05	0.66	0.71	0.05	32103	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23113	Leg fat-free mass (R)	gaussian	0.05	0.65	0.7	0.05	32046	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI21002	Weight	gaussian	0.11	0.21	0.32	0.1	31222	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23118	Leg pred. mass (L)	gaussian	0.05	0.65	0.7	0.05	30421	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23117	Leg fat-free mass (L)	gaussian	0.05	0.64	0.69	0.05	30340	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23107	Impedance of leg (R)	gaussian	0.11	0.19	0.3	0.11	30300	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23109	Impedance of arm (R)	gaussian	0.05	0.52	0.58	0.05	30140	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23128	Trunk fat mass	gaussian	0.11	0.01	0.12	0.11	29233	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23108	Impedance of leg (L)	gaussian	0.11	0.18	0.28	0.11	28999	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23111	Leg fat % (R)	gaussian	0.02	0.74	0.76	0.03	28163	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23115	Leg fat % (L)	gaussian	0.02	0.76	0.78	0.02	28134	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23100	Whole body fat mass	gaussian	0.1	0.06	0.16	0.1	27550	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23099	Body fat %	gaussian	0.05	0.46	0.51	0.05	27396	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI21001	BMI	gaussian	0.11	0.01	0.12	0.11	27126	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23110	Impedance of arm (L)	gaussian	0.06	0.53	0.58	0.06	26740	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23127	Trunk fat %	gaussian	0.08	0.19	0.27	0.08	25651	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI48	Waist circumference	gaussian	0.07	0.22	0.29	0.07	25538	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23123	Arm fat % (L)	gaussian	0.05	0.46	0.51	0.05	25266	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30080	Platelet count	gaussian	0.21	0.06	0.27	0.21	24893	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI49	Hip circumference	gaussian	0.1	0.0	0.1	0.1	24605	0.00e+00	True
Early life factors	/RIVAS_HG19/snpnet/QT_FC1001697	Comparative height size at age 10	gaussian	0.15	0.0	0.15	0.15	24144	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30100	Mean platelet volume	gaussian	0.36	0.0	0.36	0.36	24114	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23119	Arm fat % (R)	gaussian	0.05	0.46	0.51	0.05	23943	0.00e+00	True
Anthropometry	/RIVAS_HG19/snpnet/INI23112	Leg fat mass (R)	gaussian	0.06	0.32	0.38	0.06	23565	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30770	IGF-1	gaussian	0.14	0.07	0.21	0.14	22659	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30880	Urate	gaussian	0.1	0.27	0.38	0.11	18135	0.00e+00	True
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC4006150	Vascular/heart problems diagnosed by doctor High BP	binomial	0.64	0.66	0.71	0.05	14076	0.00e+00	True
Disease outcome	/RIVAS_HG19/snpnet/HC215	Hypertension	binomial	0.63	0.67	0.72	0.04	13791	0.00e+00	True
Hand grip strength	/RIVAS_HG19/snpnet/INI46	Hand grip strength (L)	gaussian	0.01	0.56	0.58	0.02	13767	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30200	Neutrophill %	gaussian	0.08	0.0	0.08	0.08	13703	0.00e+00	True
Hand grip strength	/RIVAS_HG19/snpnet/INI47	Hand grip strength (R)	gaussian	0.02	0.56	0.58	0.02	12644	0.00e+00	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC10020116	Never Smoker	binomial	0.59	0.58	0.62	0.04	12310	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30830	SHBG	gaussian	0.11	0.16	0.27	0.11	11879	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30700	Creatinine	gaussian	0.04	0.24	0.28	0.04	11780	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30610	Alkaline phosphatase	gaussian	0.15	0.03	0.18	0.15	11319	0.00e+00	True
Disease outcome	/RIVAS_HG19/snpnet/HC932	TTE essential (primary hypertension)	binomial	0.61	0.69	0.72	0.03	11276	0.00e+00	True
Disease outcome	/RIVAS_HG19/snpnet/HC273	Essential hypertension	binomial	0.6	0.7	0.72	0.03	9400	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30190	Monocyte %	gaussian	0.09	0.04	0.13	0.09	8762	0.00e+00	True
